Contactor Temperature,TEG Purity,Water Dew Point Temperature
10,90,-6
15,90,-1
20,90,3
25,90,8.5
30,90,13
35,90,18
37,90,20
10,95,-12
15,95,-8
20,95,-4
25,95,1
30,95,5
35,95,9.5
40,95,14
45,95,19
10,97,-18
15,97,-13.5
20,97,-10
25,97,-6
30,97,-2
35,97,2
40,97,6
45,97,11.5
50,97,15
55,97,19.5
10,98,-22
15,98,-18
20,98,-14.5
25,98,-11
30,98,-7
35,98,-2.5
40,98,1.5
45,98,6
50,98,9.5
55,98,13.5
60,98,17.5
10,99,-30
15,99,-26.5
20,99,-22.5
25,99,-19
30,99,-15
35,99,-11
40,99,-8
45,99,-4
50,99,-0.25
55,99,3.5
60,99,7.5
65,99,11.5
70,99,14.5
10,99.5,-37.5
15,99.5,-34
20,99.5,-30
25,99.5,-27
30,99.5,-23
35,99.5,-19.5
40,99.5,-16.5
45,99.5,-12.5
50,99.5,-9
55,99.5,-6
60,99.5,-2.5
65,99.5,1
70,99.8,4.5
10,99.8,-46.5
15,99.8,-43.5
20,99.8,-40
25,99.8,-36.5
30,99.8,-33.5
35,99.8,-30
40,99.8,-26.5
45,99.8,-24
50,99.8,-20.5
55,99.8,-17
60,99.8,-14
65,99.8,-11
70,99.8,-8.5
75,99.8,-5.5
10,99.9,-52.5
15,99.9,-49.8
20,99.9,-47
25,99.9,-43.5
30,99.9,-40.5
35,99.9,-37.5
40,99.9,-34
45,99.9,-31.5
50,99.9,-28
55,99.9,-25
60,99.9,-22.5
65,99.9,-19.5
70,99.9,-17
75,99.9,-14
10,99.95,-59
15,99.95,-56
20,99.95,-54
25,99.95,-50
30,99.95,-47.5
35,99.95,-44
40,99.95,-42
45,99.95,-38.5
50,99.95,-36
55,99.95,-33.5
60,99.95,-30
65,99.95,-27.5
70,99.95,-25
75,99.95,-22.5
10,99.97,-63
15,99.97,-60
20,99.97,-57.5
25,99.97,-54.5
30,99.97,-52
35,99.97,-49
40,99.97,-47
45,99.97,-44.5
50,99.97,-41
55,99.97,-38.5
60,99.97,-36
65,99.97,-33
70,99.97,-31
75,99.97,-28
10,99.98,-66.5
15,99.98,-63.5
20,99.98,-61
25,99.98,-58
30,99.98,-55
35,99.98,-52.5
40,99.98,-50
45,99.98,-47.5
50,99.98,-45
55,99.98,-42.5
60,99.98,-40
65,99.98,-37.5
70,99.98,-35
75,99.98,-32.5
10,99.99,-72
15,99.99,-69
20,99.99,-66.5
25,99.99,-63.5
30,99.99,-61.5
35,99.99,-59
40,99.99,-56.5
45,99.99,-54
50,99.99,-52
55,99.99,-49
60,99.99,-47
65,99.99,-44
70,99.99,-42
75,99.99,-39.5
10,99.995,-77
15,99.995,-74
20,99.995,-72
25,99.995,-69
30,99.995,-67
35,99.995,-64.9
40,99.995,-62.5
45,99.995,-60
50,99.995,-57.5
55,99.995,-55
60,99.995,-53
65,99.995,-51
70,99.995,-48
75,99.995,-47
15,99.997,-78
20,99.997,-76
25,99.997,-73
30,99.997,-71.5
35,99.997,-68
40,99.997,-67
45,99.997,-64
50,99.997,-62
55,99.997,-60
60,99.997,-57.5
65,99.997,-55
70,99.997,-53
75,99.997,-51.5
